timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:48.958855,2,10,"[0.2667997199, -0.20159530404999998, 7.957331556299999]","[0.31346, -0.040740000000000005, -0.5217800000000001]","[-0.13988813954734552, -0.02260201381332657, -0.07131851655961831]"
2024-02-23T22:04:49.058895,2,10,"[0.07178467799999999, -0.26919254249999996, 8.448458394949999]","[0.33054, -0.07938, -0.50078]","[-0.4253149220953682, -0.18738291181724123, -0.10430523942231112]"
2024-02-23T22:04:49.158978,2,10,"[0.57846486355, -0.7124629291499999, 9.7686982645]","[0.34342, -0.13902, -0.45570000000000005]","[-0.4511239784092344, 0.002901609881440573, 0.028863382504856226]"
2024-02-23T22:04:49.259043,2,10,"[0.5395814963, -0.4247260115, 11.589636263100001]","[0.32774000000000003, -0.23926000000000003, -0.39858000000000005]","[-0.495869857107239, -0.14737123871527122, -0.02855794988575722]"
2024-02-23T22:04:49.359116,2,10,"[0.06879364974999999, -0.44626141489999993, 11.3551396483]","[0.28098, -0.31626000000000004, -0.35504]","[-0.2142609822979539, -0.20311269170084012, -0.08124507668033605]"
2024-02-23T22:04:49.459162,2,10,"[0.3272184905499999, 0.24945175605, 11.17268692505]","[0.2555, -0.35686, -0.34664000000000006]","[0.052228977865930316, -0.08414668656177661, -0.09147706942015281]"
2024-02-23T22:04:49.559258,2,10,"[0.04007977854999999, -0.19381863059999999, 11.408379951149998]","[0.24990000000000004, -0.36554000000000003, -0.34790000000000004]","[0.06673702727313319, -0.028099800957108706, 0.02855794988575722]"
2024-02-23T22:04:49.659322,2,10,"[0.25423740125, -0.1088734283, 11.4077817455]","[0.26278, -0.33418000000000003, -0.3430000000000001]","[0.08949175739600926, 0.09483682823024189, 0.0012217304763960308]"
2024-02-23T22:04:49.759399,2,10,"[0.053240302850000004, -0.29491538544999996, 10.497910951849999]","[0.29722000000000004, -0.27566, -0.37408]","[0.26481008075883966, 0.0949895445397914, -0.053297992032776846]"
2024-02-23T22:04:49.859587,2,10,"[0.24586252214999998, -0.50069812905, 10.07916699685]","[0.32522, -0.21938000000000002, -0.4277]","[0.2506074639707358, 0.14599679192932566, 0.06307183584394509]"
2024-02-23T22:04:49.959561,2,10,"[0.44027935839999993, -0.34755748264999997, 9.370891507249999]","[0.33474, -0.15386000000000002, -0.44408000000000003]","[0.34804046946331924, 0.2104430745592163, -0.003207042500539581]"
2024-02-23T22:04:50.059594,2,10,"[0.34995030525, -0.7387839777499999, 9.33619557955]","[0.32746000000000003, -0.11326, -0.5006400000000001]","[0.29642235683558693, 0.14141530264284058, -0.04459316238845512]"
2024-02-23T22:04:50.159686,2,10,"[0.6819544409999999, -1.1144571259499998, 9.6981099978]","[0.32494000000000006, -0.06930000000000001, -0.4907]","[0.24877486825614178, 0.10949759394699426, 0.002138028333693054]"
2024-02-23T22:04:50.259750,2,10,"[0.9631110964999998, -1.3112667848, 9.1633141467]","[0.32438000000000006, -0.04578, -0.5016200000000001]","[0.23457225146803792, 0.050396382151336266, -0.01466076571675237]"
2024-02-23T22:04:50.359824,2,10,"[1.1018948073, -1.1820543644, 8.8917287816]","[0.33054, -0.02338, -0.51926]","[0.1510364301444593, 0.07376197751241036, -0.027947084647559205]"
2024-02-23T22:04:50.459858,2,10,"[0.56410792795, -1.2538390423999999, 7.7473613731499995]","[0.32046, -0.022820000000000003, -0.51674]","[-0.041691552507014555, -0.06261368691529658, -0.06001750965295501]"
2024-02-23T22:04:50.560016,2,10,"[0.51026941945, -0.9672985360499999, 8.173283795949999]","[0.32746000000000003, -0.033460000000000004, -0.51898]","[-0.16172657181292457, -0.10002918275492502, -0.08368853763312811]"
